Index,Critical Regions,Scenario Name,Theta 1,Theta 2,Theta 3,Theta 4,Obj,"X (P1,1)","X (P1,2)","X (P1,3)","X (P1,4)",Updated Obj,"Y_up(WC1,1)","Y_up(WC1,2)","Y_up(WC1,3)","Y_up(WC1,4)","Y_up(WC2,1)","Y_up(WC2,2)","Y_up(WC2,3)","Y_up(WC2,4)","Y_up(WC3,1)","Y_up(WC3,2)","Y_up(WC3,3)","Y_up(WC3,4)","X_up(P1,1)","X_up(P1,2)","X_up(P1,3)","X_up(P1,4)",Plan
45,CR 2,Sc52,80.0,120.0,108.0,64.0,9488.00,80.00,100.00,108.00,84.00,9488.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,108.00,84.00,Plan E
46,CR 2,Sc53,80.0,120.0,108.0,80.0,9808.00,80.00,100.00,108.00,100.00,9808.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,108.00,100.00,Plan E
47,CR 2,Sc54,80.0,120.0,108.0,96.0,10160.00,80.00,100.00,124.00,100.00,10160.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,80.00,100.00,124.00,100.00,Plan E
3,CR 1,Sc55,96.0,80.0,72.0,64.0,8273.00,96.00,60.00,72.00,84.00,8173.999999999998,2.0,2.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,85.99999999999946,50.0,80.00000000000054,Plan A
48,CR 2,Sc56,96.0,80.0,72.0,80.0,8593.00,96.00,60.00,72.00,100.00,8533.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,82.0,50.0,100.0,Plan B
49,CR 2,Sc57,96.0,80.0,72.0,96.0,8950.00,96.00,60.00,88.00,100.00,8917.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,98.0,50.0,100.0,Plan B
4,CR 1,Sc58,96.0,80.0,90.0,64.0,8638.00,96.00,60.00,90.00,84.00,8606.0,2.0,2.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,60.0,94.0,80.0,Plan C
50,CR 2,Sc59,96.0,80.0,90.0,80.0,8958.00,96.00,60.00,90.00,100.00,8929.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,100.0,50.0,100.0,Plan B
51,CR 2,Sc60,96.0,80.0,90.0,96.0,9320.00,96.00,60.00,106.00,100.00,9320.00,2.00,2.00,1.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,96.00,60.00,106.00,100.00,Plan E
5,CR 1,Sc61,96.0,80.0,108.0,64.0,9008.00,96.00,60.00,108.00,84.00,8990.0,2.0,2.0,2.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,96.0,72.0,100.0,80.0,Plan C
